test,r1,r2,r3,r4,r5,min,max,avg,std
test_01,0.001542,0.001044,0.001014,0.000992,0.001003,0.000992,0.001542,0.001119,0.000212
test_02,0.037012,0.036925,0.035580,0.036529,0.036909,0.035580,0.037012,0.036591,0.000532
test_03,0.000984,0.000889,0.000859,0.000870,0.001019,0.000859,0.001019,0.000924,0.000065
test_04,0.000953,0.000890,0.000858,0.000862,0.000998,0.000858,0.000998,0.000912,0.000055
test_05,0.000917,0.000880,0.000855,0.000855,0.000962,0.000855,0.000962,0.000894,0.000041
test_06,0.000870,0.000907,0.000881,0.000854,0.000869,0.000854,0.000907,0.000876,0.000018
test_07,0.110607,0.088363,0.087906,0.087949,0.088276,0.087906,0.110607,0.092620,0.008995
test_08,0.036031,0.036163,0.038761,0.037970,0.037723,0.036031,0.038761,0.037330,0.001064
test_09,0.000868,0.000873,0.000879,0.000852,0.000955,0.000852,0.000955,0.000885,0.000036
