test,threads,r1,r2,r3,r4,r5,min,max,avg,std
test_01,1,0.000093,0.000140,0.000108,0.000090,0.000091,0.000090,0.000140,0.000104,0.000019
test_01,2,0.000422,0.000462,0.000421,0.000439,0.000436,0.000421,0.000462,0.000436,0.000015
test_01,4,0.000805,0.000810,0.000724,0.000772,0.000770,0.000724,0.000810,0.000776,0.000031
test_01,8,0.001199,0.001268,0.001373,0.002291,0.001364,0.001199,0.002291,0.001499,0.000401
test_01,16,0.029898,0.021756,0.002526,0.022364,0.003077,0.002526,0.029898,0.015924,0.011093
test_01,32,0.029784,0.037982,0.024814,0.036714,0.030785,0.024814,0.037982,0.032016,0.004817
test_02,1,3.934131,3.932497,3.920341,3.921739,3.931786,3.920341,3.934131,3.928099,0.005830
test_02,2,1.968606,1.969658,1.968933,1.966037,1.969903,1.966037,1.969903,1.968627,0.001378
test_02,4,1.169449,0.985634,0.987040,0.985063,0.985467,0.985063,1.169449,1.022531,0.073462
test_02,8,0.511983,0.493075,0.493453,0.605390,0.554502,0.493075,0.605390,0.531681,0.043113
test_02,16,0.339374,0.330812,0.359118,0.332015,0.378649,0.330812,0.378649,0.347994,0.018376
test_02,32,0.349257,0.310848,0.317850,0.334073,0.244942,0.244942,0.349257,0.311394,0.035793
test_03,1,0.000103,0.000104,0.000098,0.000112,0.000078,0.000078,0.000112,0.000099,0.000011
test_03,2,0.000405,0.000388,0.000382,0.000320,0.000395,0.000320,0.000405,0.000378,0.000030
test_03,4,0.000889,0.000831,0.000646,0.000659,0.000627,0.000627,0.000889,0.000730,0.000108
test_03,8,0.001285,0.001163,0.001188,0.001469,0.001337,0.001163,0.001469,0.001288,0.000110
test_03,16,0.002752,0.006054,0.005486,0.006136,0.002737,0.002737,0.006136,0.004633,0.001558
test_03,32,0.018928,0.022700,0.012935,0.010866,0.014448,0.010866,0.022700,0.015975,0.004281
test_04,1,0.000100,0.000103,0.000077,0.000194,0.000095,0.000077,0.000194,0.000114,0.000041
test_04,2,0.000403,0.000468,0.000403,0.000511,0.000388,0.000388,0.000511,0.000435,0.000047
test_04,4,0.000787,0.000642,0.000705,0.000771,0.000753,0.000642,0.000787,0.000732,0.000053
test_04,8,0.005647,0.001643,0.005355,0.005431,0.001201,0.001201,0.005647,0.003855,0.001994
test_04,16,0.006779,0.003683,0.002947,0.006505,0.013385,0.002947,0.013385,0.006660,0.003685
test_04,32,0.008825,0.010252,0.016967,0.011046,0.009217,0.008825,0.016967,0.011261,0.002958
test_05,1,0.000090,0.000088,0.000087,0.000120,0.000099,0.000087,0.000120,0.000097,0.000012
test_05,2,0.000389,0.000446,0.000427,0.000392,0.000446,0.000389,0.000446,0.000420,0.000025
test_05,4,0.000829,0.000658,0.000617,0.000680,0.000806,0.000617,0.000829,0.000718,0.000084
test_05,8,0.001291,0.001081,0.001246,0.001250,0.001117,0.001081,0.001291,0.001197,0.000082
test_05,16,0.002774,0.006477,0.002293,0.008498,0.006766,0.002293,0.008498,0.005362,0.002415
test_05,32,0.009697,0.008951,0.009665,0.009226,0.012576,0.008951,0.012576,0.010023,0.001307
test_06,1,0.000101,0.000111,0.000089,0.000090,0.000088,0.000088,0.000111,0.000096,0.000009
test_06,2,0.000342,0.000377,0.000419,0.000503,0.000390,0.000342,0.000503,0.000406,0.000054
test_06,4,0.000717,0.000745,0.000811,0.000643,0.000704,0.000643,0.000811,0.000724,0.000055
test_06,8,0.001180,0.005426,0.001352,0.001275,0.001200,0.001180,0.005426,0.002087,0.001671
test_06,16,0.006716,0.006798,0.002815,0.002080,0.003297,0.002080,0.006798,0.004341,0.002010
test_06,32,0.010310,0.008687,0.012897,0.009638,0.010573,0.008687,0.012897,0.010421,0.001399
test_07,1,32.714507,32.669963,32.691273,32.680020,32.651224,32.651224,32.714507,32.681397,0.021151
test_07,2,16.371955,16.370352,16.364937,16.362561,16.366927,16.362561,16.371955,16.367346,0.003440
test_07,4,8.190461,8.196832,8.185179,8.190513,8.187959,8.185179,8.196832,8.190189,0.003857
test_07,8,5.202173,4.779858,4.438512,4.788973,4.432438,4.432438,5.202173,4.728391,0.283692
test_07,16,2.658474,2.344540,2.621900,2.584471,2.702286,2.344540,2.702286,2.582334,0.125141
test_07,32,1.897832,1.810994,2.094285,1.648271,1.714519,1.648271,2.094285,1.833180,0.155640
test_08,1,3.518102,3.500588,3.373710,3.392777,3.358684,3.358684,3.518102,3.428772,0.066899
test_08,2,3.171169,2.218942,3.495187,2.892981,4.135248,2.218942,4.135248,3.182705,0.635279
test_08,4,1.946818,1.999333,2.000362,2.255937,1.811017,1.811017,2.255937,2.002693,0.144230
test_08,8,1.394754,1.462019,1.708043,1.365290,1.586820,1.365290,1.708043,1.503385,0.127615
test_08,16,1.489140,1.490889,1.313964,1.261895,1.460973,1.261895,1.490889,1.403372,0.096273
test_08,32,1.468282,1.504082,1.465900,1.463674,1.507595,1.463674,1.507595,1.481907,0.019626
test_09,1,0.000080,0.000078,0.000079,0.000096,0.000125,0.000078,0.000125,0.000092,0.000018
test_09,2,0.000308,0.000380,0.000447,0.000301,0.000427,0.000301,0.000447,0.000373,0.000060
test_09,4,0.000627,0.000683,0.000700,0.000639,0.000753,0.000627,0.000753,0.000680,0.000045
test_09,8,0.001100,0.001190,0.001163,0.001274,0.001203,0.001100,0.001274,0.001186,0.000057
test_09,16,0.003663,0.006287,0.002894,0.006413,0.006654,0.002894,0.006654,0.005182,0.001578
test_09,32,0.009116,0.008965,0.009121,0.008573,0.012736,0.008573,0.012736,0.009702,0.001530
