test,type,threads,time_sec,ipc,l1_misses
test_02,hybrid1,1,4.968979016,1.13,325.549.210
test_02,hybrid1,2,2.884160127,1.14,249.454.920
test_02,hybrid1,4,1.868056226,1.13,242.760.430
test_02,hybrid1,8,1.362314337,1.14,322.144.836
test_02,hybrid1,16,1.105748451,1.13,322.549.050
test_02,hybrid1,32,1.029093502,0.87,325.929.565
test_07,hybrid1,1,34.599419868,1.21,2.500.887.088
test_07,hybrid1,2,17.736676604,1.21,1.595.056.868
test_07,hybrid1,4,9.332150522,1.21,1.661.166.217
test_07,hybrid1,8,5.085914986,1.21,2.145.882.648
test_07,hybrid1,16,2.964381334,1.21,2.220.387.809
test_07,hybrid1,32,2.296419228,0.89,1.958.774.166
test_08,hybrid1,1,4.522799414,1.24,150.040.081
test_08,hybrid1,2,3.652963343,1.10,169.176.394
test_08,hybrid1,4,2.809124017,1.04,171.035.375
test_08,hybrid1,8,2.293717676,0.91,157.785.425
test_08,hybrid1,16,2.214318965,0.66,159.597.479
test_08,hybrid1,32,2.170166943,0.40,166.900.195
test_02,hybrid4,1,2.652156893,1.06,92.697.560
test_02,hybrid4,2,1.416714817,1.08,91.577.835
test_02,hybrid4,4,1.156592783,1.09,91.082.721
test_02,hybrid4,8,1.054507879,1.10,91.386.036
test_02,hybrid4,16,0.990173704,1.11,91.754.275
test_02,hybrid4,32,0.960895013,0.88,92.204.389
test_07,hybrid4,1,9.347092078,1.20,624.220.650
test_07,hybrid4,2,5.105208657,1.20,509.646.071
test_07,hybrid4,4,3.010995024,1.20,495.603.971
test_07,hybrid4,8,1.941058676,1.19,588.892.815
test_07,hybrid4,16,1.413436739,1.20,608.366.202
test_07,hybrid4,32,1.251825790,0.88,505.822.677
test_08,hybrid4,1,2.358528975,1.07,73.370.542
test_08,hybrid4,2,2.075730206,0.97,76.994.267
test_08,hybrid4,4,1.943761963,0.92,78.888.896
test_08,hybrid4,8,1.850163582,0.81,75.061.474
test_08,hybrid4,16,1.841568677,0.55,74.531.768
test_08,hybrid4,32,1.773658212,0.40,76.263.329
